"DDBH","YYBM","PSDBM","GYSBM","PSQYBM","PSSBM","YPBM","DJ","PSSL","DDMXBH"
"D2016101400000007","455755610","45575561001","100001","100001","100001","108519","38.00","100","D2016101400000007-0001"
"D2016101400000007","455755610","45575561001","100001","100001","100001","129459","29.00","100","D2016101400000007-0002"
"D2016101400000007","455755610","45575561001","100001","100001","100001","129017","30.00","100","D2016101400000007-0003"
"D2016101400000007","455755610","45575561001","100001","100001","100001","105357","39.00","100","D2016101400000007-0004"
"D2016101400000007","455755610","45575561001","100001","100001","100001","133849","26.00","100","D2016101400000007-0005"
"D2016101400000007","455755610","45575561001","100001","100001","100001","114367","34.00","100","D2016101400000007-0006"
"D2016101400000007","455755610","45575561001","100001","100001","100001","118961","25.00","100","D2016101400000007-0007"
"D2016101400000007","455755610","45575561001","100001","100001","100001","128989","34.00","100","D2016101400000007-0008"
"D2016101400000007","455755610","45575561001","100001","100001","100001","106081","29.00","100","D2016101400000007-0009"
"D2016101400000007","455755610","45575561001","100001","100001","100001","129163","31.00","100","D2016101400000007-0010"
"D2016101400000007","455755610","45575561001","100001","100001","100001","130859","36.00","100","D2016101400000007-0011"
"D2016101400000007","455755610","45575561001","100001","100001","100001","103761","32.00","100","D2016101400000007-0012"
"D2016101400000007","455755610","45575561001","100001","100001","100001","120487","24.00","100","D2016101400000007-0013"
"D2016101400000007","455755610","45575561001","100001","100001","100001","114321","39.00","100","D2016101400000007-0014"
"D2016101400000007","455755610","45575561001","100001","100001","100001","118421","32.00","100","D2016101400000007-0015"
"D2016101400000007","455755610","45575561001","100001","100001","100001","134243","32.00","100","D2016101400000007-0016"
"D2016101400000007","455755610","45575561001","100001","100001","100001","134169","39.00","100","D2016101400000007-0017"
"D2016101400000007","455755610","45575561001","100001","100001","100001","104539","25.00","100","D2016101400000007-0018"
"D2016101400000007","455755610","45575561001","100001","100001","100001","129021","29.00","100","D2016101400000007-0019"
"D2016101400000007","455755610","45575561001","100001","100001","100001","127671","39.00","100","D2016101400000007-0020"
"D2016101400000007","455755610","45575561001","100001","100001","100001","109455","27.00","100","D2016101400000007-0021"
"D2016101400000007","455755610","45575561001","100001","100001","100001","130907","34.00","100","D2016101400000007-0022"
"D2016101400000007","455755610","45575561001","100001","100001","100001","114369","36.00","100","D2016101400000007-0023"
"D2016101400000007","455755610","45575561001","100001","100001","100001","107233","36.00","100","D2016101400000007-0024"
"D2016101400000007","455755610","45575561001","100001","100001","100001","124883","31.00","100","D2016101400000007-0025"
"D2016101400000007","455755610","45575561001","100001","100001","100001","111073","32.00","100","D2016101400000007-0026"
"D2016101400000007","455755610","45575561001","100001","100001","100001","114373","37.00","100","D2016101400000007-0027"
"D2016101400000007","455755610","45575561001","100001","100001","100001","104541","30.00","100","D2016101400000007-0028"
"D2016101400000007","455755610","45575561001","100001","100001","100001","127141","27.00","100","D2016101400000007-0029"
"D2016101400000007","455755610","45575561001","100001","100001","100001","127685","25.00","100","D2016101400000007-0030"
"D2016101400000007","455755610","45575561001","100001","100001","100001","130877","30.00","100","D2016101400000007-0031"
"D2016101400000007","455755610","45575561001","100001","100001","100001","127641","37.00","100","D2016101400000007-0032"
"D2016101400000007","455755610","45575561001","100001","100001","100001","119837","36.00","100","D2016101400000007-0033"
"D2016101400000007","455755610","45575561001","100001","100001","100001","114395","32.00","100","D2016101400000007-0034"
"D2016101400000007","455755610","45575561001","100001","100001","100001","119843","34.00","100","D2016101400000007-0035"
"D2016101400000007","455755610","45575561001","100001","100001","100001","132603","26.00","100","D2016101400000007-0036"
"D2016101400000007","455755610","45575561001","100001","100001","100001","117667","26.00","100","D2016101400000007-0037"
"D2016101400000007","455755610","45575561001","100001","100001","100001","124683","27.00","100","D2016101400000007-0038"
"D2016101400000007","455755610","45575561001","100001","100001","100001","133139","23.00","100","D2016101400000007-0039"
"D2016101400000007","455755610","45575561001","100001","100001","100001","102567","38.00","100","D2016101400000007-0040"
"D2016101400000007","455755610","45575561001","100001","100001","100001","101327","29.00","100","D2016101400000007-0041"
"D2016101400000007","455755610","45575561001","100001","100001","100001","100977","25.00","100","D2016101400000007-0042"
"D2016101400000007","455755610","45575561001","100001","100001","100001","129001","27.00","100","D2016101400000007-0043"
"D2016101400000007","455755610","45575561001","100001","100001","100001","119023","31.00","100","D2016101400000007-0044"
"D2016101400000007","455755610","45575561001","100001","100001","100001","136727","20.00","100","D2016101400000007-0045"
"D2016101400000007","455755610","45575561001","100001","100001","100001","111805","34.00","100","D2016101400000007-0046"
"D2016101400000007","455755610","45575561001","100001","100001","100001","101095","25.00","100","D2016101400000007-0047"
"D2016101400000007","455755610","45575561001","100001","100001","100001","119273","35.00","100","D2016101400000007-0048"
"D2016101400000007","455755610","45575561001","100001","100001","100001","106319","23.00","100","D2016101400000007-0049"
"D2016101400000007","455755610","45575561001","100001","100001","100001","113127","30.00","100","D2016101400000007-0050"
"D2016101400000007","455755610","45575561001","100001","100001","100001","111131","24.00","100","D2016101400000007-0051"
"D2016101400000007","455755610","45575561001","100001","100001","100001","114339","33.00","100","D2016101400000007-0052"
"D2016101400000007","455755610","45575561001","100001","100001","100001","107241","23.00","100","D2016101400000007-0053"
"D2016101400000007","455755610","45575561001","100001","100001","100001","124015","26.00","100","D2016101400000007-0054"
"D2016101400000007","455755610","45575561001","100001","100001","100001","136715","36.00","100","D2016101400000007-0055"
"D2016101400000007","455755610","45575561001","100001","100001","100001","104971","36.00","100","D2016101400000007-0056"
"D2016101400000007","455755610","45575561001","100001","100001","100001","108523","31.00","100","D2016101400000007-0057"
"D2016101400000007","455755610","45575561001","100001","100001","100001","107279","28.00","100","D2016101400000007-0058"
"D2016101400000007","455755610","45575561001","100001","100001","100001","119813","37.00","100","D2016101400000007-0059"
"D2016101400000007","455755610","45575561001","100001","100001","100001","114317","20.00","100","D2016101400000007-0060"
"D2016101400000007","455755610","45575561001","100001","100001","100001","123141","26.00","100","D2016101400000007-0061"
